                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5883,                 4.3947,                 1.9485,                0.00863,                0.03354,                0.00447,                0.00116,                 3.4362,                  4.664,                 1.5919,                 0.0991,                 0.0001,                 0.0001
                      1,                 3.8016,                 4.5889,                 1.9832,                0.00961,                0.03774,                0.00499,                0.00135,                 3.4702,                 4.6591,                 1.6104,               0.097288,             0.00028812,             0.00028812
                      2,                 3.7939,                 4.4988,                 1.9485,                0.00949,                0.03774,                0.00493,                0.00144,                 3.5017,                 4.6636,                 1.6433,                0.09546,              0.0004604,              0.0004604
                      3,                 3.8735,                 4.6419,                 2.0219,                0.00959,                0.03774,                  0.005,                0.00149,                 3.5375,                 4.5582,                 1.6345,               0.093617,             0.00061684,             0.00061684
                      4,                 3.8766,                 4.6265,                 1.9765,                 0.0184,                0.07338,                0.00992,                0.00306,                 3.3658,                 4.0879,                 1.5484,               0.091757,             0.00075744,             0.00075744
                      5,                 3.8841,                 4.4334,                 2.0561,                0.02515,                 0.1153,                0.01455,                  0.005,                 3.3082,                 3.6799,                 1.5267,               0.089882,              0.0008822,              0.0008822
                      6,                 3.6841,                 3.7322,                 1.8993,                0.03226,                0.16562,                0.02535,                0.00756,                 3.2189,                   3.15,                 1.4688,               0.087991,             0.00099112,             0.00099112
                      7,                 3.5865,                 3.3106,                 1.7965,                0.13678,                0.07338,                0.03989,                0.01085,                 3.2631,                  2.741,                 1.4508,               0.086084,              0.0010842,              0.0010842
                      8,                 3.3131,                 3.0126,                 1.6561,                0.14334,                0.10692,                0.04652,                0.01301,                 3.1988,                 2.7401,                 1.4119,               0.084161,              0.0011614,              0.0011614
                      9,                 3.4677,                 2.7988,                 1.7119,                0.13819,                0.12369,                0.05366,                0.01488,                 3.2234,                 2.7784,                 1.4155,               0.082223,              0.0012228,              0.0012228
                     10,                 3.2404,                 2.4951,                 1.6531,                0.14021,                0.13417,                0.06071,                0.01522,                  3.218,                 3.0324,                 1.4233,               0.080268,              0.0012684,              0.0012684
                     11,                 3.2055,                 2.4137,                 1.5623,                 0.1719,                 0.1195,                0.06066,                0.01608,                 3.1172,                 3.7012,                 1.3654,               0.078298,              0.0012981,              0.0012981
                     12,                 3.2614,                 2.3071,                 1.5916,                0.16783,                0.13208,                0.06396,                0.01735,                 3.0963,                 3.5708,                 1.3384,               0.076312,               0.001312,               0.001312
                     13,                 2.9925,                 2.1924,                 1.5455,                0.18654,                0.14952,                0.06873,                0.01864,                 3.0632,                 3.1117,                 1.3526,                0.07431,                0.00131,                0.00131
                     14,                 3.0437,                 2.0586,                 1.5033,                0.18712,                0.14675,                0.07341,                0.01981,                 3.0631,                 3.1353,                 1.3332,               0.072292,              0.0012922,              0.0012922
                     15,                 2.9689,                  2.161,                 1.4068,                0.16456,                0.13208,                0.05884,                0.01652,                 3.0549,                 3.0113,                 1.3302,               0.070259,              0.0012586,              0.0012586
                     16,                 2.8987,                 2.1819,                 1.4991,                0.19621,                0.15302,                0.07814,                0.02154,                 3.0827,                 2.5285,                 1.3471,               0.068209,              0.0012091,              0.0012091
                     17,                 3.0496,                 1.9599,                  1.469,                0.19225,                0.16981,                0.07707,                0.02195,                 3.0657,                 2.1943,                 1.3267,               0.066144,              0.0011438,              0.0011438
                     18,                 3.0223,                 2.0579,                  1.483,                 0.2149,                0.15514,                0.08095,                0.02558,                 3.0529,                  1.915,                 1.3343,               0.064063,              0.0010626,              0.0010626
                     19,                 2.9525,                 1.9409,                  1.478,                0.17624,                0.17191,                 0.0786,                0.02505,                 3.0197,                 1.8598,                 1.3306,               0.061966,             0.00096564,             0.00096564
                     20,                 2.9027,                 1.9792,                 1.4491,                0.17333,                0.14675,                0.07398,                0.02508,                 2.9394,                 1.8516,                 1.3072,               0.059853,              0.0008528,              0.0008528
                     21,                 2.9936,                 1.9652,                 1.4507,                0.17911,                0.15094,                0.07656,                0.02555,                 2.9457,                 1.8017,                 1.3187,               0.057724,             0.00072412,             0.00072412
                     22,                 2.8893,                 1.8961,                 1.4667,                0.20599,                0.19287,                0.09716,                0.03132,                 2.9091,                  1.761,                 1.2987,                0.05558,              0.0005796,              0.0005796
                     23,                 3.0118,                 1.9532,                 1.4739,                0.23997,                0.18239,                0.10369,                0.03357,                 2.8996,                 1.7329,                 1.2888,               0.053419,             0.00041924,             0.00041924
                     24,                 2.9235,                 1.8153,                  1.392,                0.25597,                0.18449,                0.10829,                0.03448,                 2.9001,                 1.7112,                 1.2886,               0.051243,             0.00024304,             0.00024304
